feature,activity,frequency,mean_activation,specificity,coherence,genericity,entity_ratio,diversity,keywords,activity_n,specificity_n,coherence_n,entity_ratio_n,diversity_n,genericity_n,freq_peak,freq_peak_n,brain_surgery_score,rank
1721,0.0076269384497155744,0.10069166666666667,0.07574547827243805,0.8993083333333334,0.022715006484968825,0.3258678611422172,0.13754940711462452,1.0,"townsend, since, made, been, work",0.01309095400163651,0.8214244995683829,0.1502283611377316,0.3067057303420527,0.0,0.2793915240302884,0.9572523129413003,0.9573256832875352,0.41647867833850993,57
50,0.0012631520899012685,0.034916666666666665,0.03617619350552559,0.9650833333333333,0.018492350919200984,0.3116279069767442,0.13159968479117415,1.0,"rock, album, little, second, main",0.0018274465386571156,0.9499812694431323,0.11832844985580741,0.28700959873580795,0.0,0.21293330269359437,0.8126955898324517,0.8127578800009095,0.4146253915628065,58
954,0.0005462350159262618,0.023966666666666667,0.02279144711792469,0.9760333333333333,0.027891097197433212,0.3256578947368421,0.162754303599374,1.0,"released, townsend, strapping, young, lad",0.0005585477484578691,0.971382966594459,0.18933096658189155,0.390144743340815,0.0,0.2784116055783369,0.7258723792550273,0.7259280144814825,0.4138844784629639,59
1563,0.0005037554276175797,0.027316666666666666,0.018441321328282356,0.9726833333333333,0.014346799668466081,0.3203559510567297,0.16834755624515127,1.0,"governor, director, patterson, troops, series",0.00048336150981218744,0.9648354154111766,0.08701102056198184,0.4086608074912371,0.0,0.253667302154809,0.7533557528401255,0.753413494649095,0.41224931542847526,60
1239,0.0008679871272295714,0.02485,0.034929059445858,0.97515,0.027441619166492126,0.3138602520045819,0.13576415826221877,1.0,"fey, series, comedy, did, emmy",0.001128029044967005,0.9696564978744889,0.18593539971955209,0.30079579128350353,0.0,0.2233517126291841,0.7331833743220582,0.733239569931478,0.41179252911582925,61
1924,0.0026068668618798255,0.0302,0.08632009476423264,0.9698,0.010169375425750804,0.32533013205282113,0.17772317772317772,1.0,"john, special, game, work, election",0.004205738408709424,0.9591999609101423,0.055452807808405044,0.43969813402220936,0.0,0.2768819289552626,0.7764171753729087,0.776476684824752,0.4113273048437208,62
454,0.0008294046589949479,0.029158333333333335,0.028444858267903328,0.9708416666666667,0.027447335227741676,0.289210233592881,0.07557251908396946,1.0,"game, streak, win, season, four",0.0010597404673294729,0.9612358910044466,0.18597858151449195,0.10153566074301217,0.0,0.10830946175379427,0.7681557536319358,0.7682146298512347,0.4092900776787203,63
1864,0.00033105449428160984,0.01863333333333333,0.017766788601875305,0.9813666666666667,0.01139706845544286,0.3266888150609081,0.19849624060150375,1.0,"lanka, graduated, university, sri, degree",0.00017769156089989167,0.9818069286772971,0.06472737404253073,0.5084658778047516,0.0,0.2832229364492883,0.6809460333041262,0.6809982249557042,0.40759816594509857,64
1809,0.004061726128309965,0.07469166666666667,0.0543799102306366,0.9253083333333333,0.01260062110908966,0.3205619412515964,0.11190476190476191,1.0,"townsend, road, turns, young, outside",0.006780749145791862,0.8722413147222177,0.07381957260726875,0.22181096053773855,0.0,0.2546286635331225,0.9971287826294012,0.997205209480818,0.4068804124776811,65
12,0.0002530998270958662,0.015666666666666666,0.016155308112502098,0.9843333333333333,0.04563111223960392,0.3337091319052988,0.15286624203821655,1.0,"later, townsend, days, years, first",3.9716631199970117e-05,0.9876052575858755,0.3233473212599562,0.35741102044561546,0.0,0.31598693029903535,0.6555214435516978,0.6555716864251886,0.40485268187156503,66
774,0.005043803422401349,0.08246666666666666,0.061161722987890244,0.9175333333333333,0.023170206819736916,0.34328358208955223,0.13663535439795046,1.0,"synagogue, airworthiness, aircraft, gliding, standards",0.00851896509236611,0.8570451324983306,0.1536671569543551,0.3036798239847595,0.0,0.3606711281642979,0.999379331016726,0.9994559303711971,0.40424719114973184,67
231,0.0029156924091279504,0.0653,0.04465072602033615,0.9347,0.010752607380752788,0.3028953229398664,0.07797123391370174,1.0,"gods, being, gold, each, god",0.004752340487961099,0.8905972604524651,0.059858814249511345,0.10947643518655953,0.0,0.17217811514030434,0.9781913242622374,0.9782662995699223,0.4031902604767976,68
135,0.0005476262475674351,0.017516666666666666,0.03126315400004387,0.9824833333333334,0.015294584525742283,0.29562982005141386,0.12578616352201258,1.0,"made, feet, august, jordan, career",0.0005610101422415515,0.9839894457383913,0.09417102980037785,0.2677643510102458,0.0,0.13826983190622502,0.6714039024231544,0.6714553626766745,0.4022108854049776,69
887,0.0002899325495585799,0.016233333333333332,0.017860321328043938,0.9837666666666667,0.026097606146696206,0.30650887573964497,0.12678288431061807,1.0,"aircraft, aerial, construction, formed, commercial",0.00010490826726123011,0.9864977116145741,0.17578209798194167,0.27106392412640246,0.0,0.18904265620475508,0.6603950118556807,0.6604456282849774,0.3991998928306623,70
2021,0.0016654775503401956,0.046808333333333334,0.03558079153299332,0.9531916666666667,0.022521541816190593,0.34725274725274724,0.1553627760252366,1.0,"government, polish, year, jordan, croatia",0.002539537669625363,0.9267390914865548,0.14876683872035912,0.3656756182360034,0.0,0.37919532100033204,0.8936715063543026,0.8937400032735183,0.3979985903695346,71
1163,0.007321958298236132,0.09314166666666666,0.07861098647117615,0.9068583333333333,0.019447551712504785,0.34689265536723163,0.1497584541062802,1.0,"shiva, portuguese, cultural, caves, preservation",0.012551158034578068,0.8361809208919003,0.1255444825367192,0.3471229100458313,0.0,0.3775147631873604,0.9825315771111871,0.982606885096399,0.3964127097660788,72
1717,0.0009964699387550353,0.0264,0.037745073437690735,0.9736,0.023261793255234475,0.32947232947232946,0.1515934539190353,1.0,"shiva, trimurti, parvati, elephanta, caves",0.0013554356586805217,0.9666270338941643,0.15435904364070588,0.35319754611195603,0.0,0.29621366764817453,0.7459033956037666,0.7459605661944541,0.39571859060431963,73
718,0.0017467604385688902,0.048575,0.03596007078886032,0.951425,0.007808838406227481,0.31138392857142855,0.10318664643399089,1.0,"information, relationship, great, coastal, hurricane",0.0026834033443057332,0.9232861540466146,0.03762020926284993,0.1929502607713057,0.0,0.21179464938941767,0.9041423798818597,0.9042116793866466,0.39314865141837657,74
1657,0.0008753109082269172,0.020958333333333332,0.041764337569475174,0.9790416666666667,0.010578101986495447,0.3107947805456702,0.14481094127111827,1.0,"back, season, album, jordan, fey",0.001140991683443014,0.9772627327068099,0.058540519042070215,0.3307445215047636,0.0,0.2090450808556328,0.7006786178621158,0.7007323220033256,0.3922063804323598,75
1043,0.002151220701634884,0.050958333333333335,0.04221528768539429,0.9490416666666667,0.0457954887083899,0.34375,0.0932009167303285,1.0,"although, these, deities, gods, received",0.0033992729436200892,0.9186279459908465,0.3245890978361982,0.15989321445293855,0.0,0.3628479121881605,0.917536330718278,0.9176066568605896,0.39204138921102094,76
479,0.0035010757176826396,0.052408333333333335,0.06680379807949066,0.9475916666666666,0.037766774563236405,0.3312945973496432,0.08042488619119878,1.0,"gods, deities, all, although, private",0.005788432665134958,0.9157939312995749,0.26393644337520034,0.11759907613453537,0.0,0.30471823729200825,0.9252570570569951,0.9253279749879041,0.3917629844629025,77
2000,0.00029990149879207214,0.019033333333333333,0.015756646171212196,0.9809666666666667,0.023686303623807525,0.3061699650756694,0.11458333333333333,1.0,"gold, made, longacre, work, dollar",0.00012255268958165176,0.9810251315210842,0.15756599312659766,0.23067818030124418,0.0,0.18746095168112215,0.6843546340106538,0.6844070869292347,0.3909149744556379,78
1739,0.0003133920835951964,0.013358333333333333,0.023460417985916138,0.9866416666666666,0.025545128480339074,0.29118773946360155,0.09262589928057553,1.0,"pound, pounds, long, pounder, inch",0.00014643018860793596,0.9921168786748539,0.17160842379337868,0.15798966017754276,0.0,0.11753853098560468,0.6356071043757346,0.6356558208282216,0.3900618739567084,79
1722,0.002192941996641457,0.022075,0.09934052079916,0.977925,0.014901373807391649,0.316043425814234,0.14108910891089108,1.0,"blackie, gold, book, metal, all",0.0034731170501160554,0.9750802156457157,0.09120053248296142,0.3184236607993006,0.0,0.23354063926281932,0.7100796550701375,0.7101340797946679,0.3896982961472756,80
63,0.0004594882757558177,0.025558333333333332,0.017978021875023842,0.9744416666666667,0.024161841847015086,0.32162921348314605,0.12796610169491526,1.0,"per, hour, blackie, estimated, young",0.0004050113944613088,0.968272065410362,0.16115843084623124,0.27498088092757283,0.0,0.259609649663177,0.7390141044237712,0.7390707469548196,0.38865713225814325,81
1136,0.014952307102580864,0.13163333333333332,0.11359058320522308,0.8683666666666667,0.015787738674667096,0.320139697322468,0.17391304347826086,1.0,"head, blackie, cullen, little, old",0.026056402529520642,0.7609492320471686,0.09789654644600408,0.42708495622237175,0.0,0.25265804058209285,0.7618230792576501,0.7618814700816221,0.38839736882975673,82
68,0.0005337326942943037,0.022025,0.02423303946852684,0.977975,0.050261820755310715,0.3431483578708947,0.12958626073380172,1.0,"end, jordan, war, game, year",0.0005364194139972136,0.9751779402902423,0.3583298550050774,0.2803443019274371,0.0,0.3600400333623629,0.7096598902525147,0.7097142828023479,0.38836311938888246,83
598,0.00030084644195934137,0.014866666666666667,0.020236307755112648,0.9851333333333333,0.010372728353791105,0.2964824120603015,0.12386457473162675,1.0,"jordan, year, cup, games, million",0.000124225180425128,0.9891688518983012,0.05698903075208848,0.2614030683064548,0.0,0.14224890008145397,0.6486299106110256,0.6486796252530477,0.38700240244557227,84
877,0.0002625876214743281,0.019008333333333332,0.013814342208206654,0.9809916666666667,0.04794676444768331,0.33791523482245134,0.127443315089914,1.0,"put, brought, madero, human, people",5.6509439246426595e-05,0.9810739938433475,0.3408408389876073,0.27325023314027985,0.0,0.3356169175437137,0.6841417519480799,0.6841941885493907,0.38629510368008274,85
683,0.00042504088021814827,0.017825,0.023845210671424866,0.982175,0.018820578405096655,0.32781065088757394,0.1629032258064516,1.0,"year, blackie, jordan, fairies, player",0.00034404163922740366,0.9833868104304772,0.12080803350104773,0.39063773969093574,0.0,0.28845857223895705,0.6740423685647644,0.6740940310549794,0.38616462368091703,86
833,0.0020608697161078452,0.0265,0.07776866853237152,0.9735,0.024298975058032246,0.323943661971831,0.12531328320802004,1.0,"jordan, size, building, game, inches",0.003239357298714461,0.9664315846051111,0.16219439913611883,0.26619891444160304,0.0,0.27041123849878906,0.7467190070497546,0.7467762401565231,0.3852968591128157,87
776,0.005798148524450758,0.08814166666666666,0.06578215211629868,0.9118583333333333,0.00829434409300256,0.3214723926380368,0.0993431855500821,1.0,"time, airspace, round, operations, jordan",0.009854109172665406,0.8459533853445609,0.04128794585509042,0.18022675750888445,0.0,0.2588777628668172,0.993258871374192,0.9933350015994558,0.3831877217654289,88
963,0.0009589142136586209,0.03195833333333333,0.030005138367414474,0.9680416666666667,0.01874198662795501,0.3470522803114572,0.1680129240710824,1.0,"arkansas, little, rock, forces, been",0.0012889643527654988,0.9557633109109567,0.12021431452983172,0.40755303153433803,0.0,0.37825973678425023,0.7901674600514847,0.7902280234536075,0.3826365702664861,89
1481,0.0002830658864695579,0.014375,0.01969153992831707,0.985625,0.020452714864445,0.3304878048780488,0.16821639898562976,1.0,"pistons, madero, game, bulls, however",9.275469915319867e-05,0.9901298109028128,0.133137954197229,0.4082266207335681,0.0,0.3009529166998952,0.6443887248251954,0.6444381143831157,0.3825140423639619,90
556,0.000312565173736463,0.017283333333333335,0.018084773793816566,0.9827166666666667,0.039688511223285206,0.336046511627907,0.1368584758942457,1.0,"returned, jordan, come, nba, time",0.00014496660940548658,0.9844454940795154,0.27845413917301776,0.3044184517922947,0.0,0.32689553977543656,0.66940545947314,0.6694567665473221,0.3816787822968297,91
1351,0.00046492675468325616,0.0253,0.018376551568508148,0.9747,0.019347926728723652,0.2854330708661417,0.05485232067510549,1.0,"feet, points, shooting, jordan, assists",0.0004146371651146541,0.9687769760737496,0.12479186890423523,0.03294292101800636,0.0,0.09068134907861482,0.7368909915164787,0.7369474713123187,0.37957228605019744,92
994,0.0013188236261407534,0.040966666666666665,0.03219260275363922,0.9590333333333333,0.020131115673008293,0.34363411619283063,0.1362179487179487,1.0,"work, album, townsend, construction, began",0.0019259817075730097,0.9381565874554131,0.1307084437824235,0.3022980322372513,0.0,0.362307079569129,0.856013183962384,0.8560787943959496,0.3771375295689444,93
1718,0.00112950050951913,0.020025,0.05640451982617378,0.979975,0.031104216621554603,0.32857142857142857,0.12510495382031905,1.0,"feet, jordan, inches, john, season",0.0015908915244002993,0.9790869260713065,0.21360437059775086,0.265509254855065,0.0,0.2920091406687501,0.6927813234943053,0.6928344223130944,0.37639824684910894,94
1556,0.00023610287209351855,0.015733333333333332,0.015006538480520248,0.9842666666666666,0.03030498438377882,0.31840193704600483,0.11442385173247381,1.0,"south, near, seen, tower, shiva",9.63307422737965e-06,0.98747495805984,0.20756659719151163,0.23015022783076955,0.0,0.24454787001965358,0.6560951642489958,0.6561454510978008,0.37499336619780244,95
2003,0.0003737742087338119,0.019325,0.0193414855748415,0.980675,0.0477609043162851,0.3258173618940248,0.08856682769726248,1.0,"political, social, trujillo, power, sexual",0.0002533028079378528,0.9804550710946789,0.339436764795406,0.14455239306526205,0.0,0.2791558427791616,0.6868366848316289,0.6868893279977732,0.37421024331345065,96
