category,pair_id,feature,is_target,alpha,delta_contrast
code,p155,6631,1,1.0,0.0
code,p156,6631,1,1.0,0.0
code,p157,6631,1,1.0,0.0
code,p158,6631,1,1.0,0.0
code,p159,6631,1,1.0,0.0
code,p160,6631,1,1.0,0.0
code,p161,6631,1,1.0,0.0
code,p162,6631,1,1.0,0.0
code,p163,6631,1,1.0,0.0
code,p164,6631,1,1.0,0.0
code,p165,6631,1,1.0,0.0
code,p166,6631,1,1.0,0.0
code,p167,6631,1,1.0,0.0
code,p168,6631,1,1.0,0.0
code,p169,6631,1,1.0,0.0
code,p170,6631,1,1.0,0.0
code,p171,6631,1,1.0,0.0
code,p172,6631,1,1.0,0.0
code,p173,6631,1,1.0,0.0
code,p174,6631,1,1.0,0.0
code,p175,6631,1,1.0,0.0
code,p176,6631,1,1.0,0.0
code,p177,6631,1,1.0,0.0
code,p178,6631,1,1.0,0.0
code,p179,6631,1,1.0,0.0
code,p180,6631,1,1.0,0.0
code,p181,6631,1,1.0,0.0
code,p182,6631,1,1.0,0.0
code,p183,6631,1,1.0,0.0
code,p184,6631,1,1.0,0.0
code,p185,6631,1,1.0,0.0
code,p186,6631,1,1.0,0.0
code,p187,6631,1,1.0,0.0
code,p188,6631,1,1.0,0.0
code,p189,6631,1,1.0,0.0
code,p190,6631,1,1.0,0.0
code,p191,6631,1,1.0,0.0
code,p192,6631,1,1.0,0.0
code,p193,6631,1,1.0,0.0
code,p194,6631,1,1.0,0.0
code,p195,6631,1,1.0,0.0
code,p196,6631,1,1.0,0.0
code,p197,6631,1,1.0,0.0
code,p198,6631,1,1.0,0.0
code,p199,6631,1,1.0,0.0
code,p200,6631,1,1.0,0.0
code,p1,6631,1,1.5,-0.21875
code,p2,6631,1,1.5,0.0
code,p3,6631,1,1.5,0.1875
code,p4,6631,1,1.5,-0.0859375
code,p5,6631,1,1.5,0.125
code,p6,6631,1,1.5,0.1875
code,p7,6631,1,1.5,0.375
code,p8,6631,1,1.5,0.25
code,p9,6631,1,1.5,-0.15625
code,p10,6631,1,1.5,0.28125
code,p11,6631,1,1.5,-0.0625
code,p12,6631,1,1.5,0.28125
code,p13,6631,1,1.5,-0.59375
code,p14,6631,1,1.5,0.109375
code,p15,6631,1,1.5,0.15625
code,p16,6631,1,1.5,-0.125
code,p17,6631,1,1.5,0.4375
code,p18,6631,1,1.5,0.0
code,p19,6631,1,1.5,0.109375
code,p20,6631,1,1.5,0.28125
code,p21,6631,1,1.5,0.421875
code,p22,6631,1,1.5,0.21875
code,p23,6631,1,1.5,-0.09375
code,p24,6631,1,1.5,-0.125
code,p25,6631,1,1.5,-0.171875
code,p26,6631,1,1.5,-0.265625
code,p27,6631,1,1.5,0.578125
code,p28,6631,1,1.5,0.296875
code,p29,6631,1,1.5,0.03125
code,p30,6631,1,1.5,0.03125
code,p31,6631,1,1.5,-0.09375
code,p32,6631,1,1.5,0.5625
code,p33,6631,1,1.5,0.5
code,p34,6631,1,1.5,0.34375
code,p35,6631,1,1.5,0.578125
code,p36,6631,1,1.5,0.625
code,p37,6631,1,1.5,0.65625
code,p38,6631,1,1.5,0.09375
code,p39,6631,1,1.5,0.234375
code,p40,6631,1,1.5,0.3125
code,p41,6631,1,1.5,-0.09375
code,p42,6631,1,1.5,0.0
code,p43,6631,1,1.5,-0.25
code,p44,6631,1,1.5,-0.09375
code,p45,6631,1,1.5,0.15625
code,p46,6631,1,1.5,0.0625
code,p47,6631,1,1.5,0.1875
code,p48,6631,1,1.5,0.09375
code,p49,6631,1,1.5,0.0625
code,p50,6631,1,1.5,0.25
code,p51,6631,1,1.5,-0.078125
code,p52,6631,1,1.5,0.125
code,p53,6631,1,1.5,-0.328125
code,p54,6631,1,1.5,0.0625
code,p55,6631,1,1.5,0.09375
code,p56,6631,1,1.5,-0.078125
code,p57,6631,1,1.5,0.15625
code,p58,6631,1,1.5,0.15625
code,p59,6631,1,1.5,0.03125
code,p60,6631,1,1.5,0.15625
code,p61,6631,1,1.5,0.0
code,p62,6631,1,1.5,0.125
code,p63,6631,1,1.5,-0.625
code,p64,6631,1,1.5,-0.03125
code,p65,6631,1,1.5,0.34375
code,p66,6631,1,1.5,-0.515625
code,p67,6631,1,1.5,-0.0625
code,p68,6631,1,1.5,-0.03125
code,p69,6631,1,1.5,0.0625
code,p70,6631,1,1.5,-0.25
code,p71,6631,1,1.5,0.5625
code,p72,6631,1,1.5,0.375
code,p73,6631,1,1.5,-0.375
code,p74,6631,1,1.5,0.078125
code,p75,6631,1,1.5,0.40625
code,p76,6631,1,1.5,0.59375
code,p77,6631,1,1.5,0.0625
code,p78,6631,1,1.5,0.125
code,p79,6631,1,1.5,0.1875
code,p80,6631,1,1.5,0.1875
code,p81,6631,1,1.5,-0.03125
code,p82,6631,1,1.5,0.1875
code,p83,6631,1,1.5,0.125
code,p84,6631,1,1.5,0.5625
code,p85,6631,1,1.5,0.03125
code,p86,6631,1,1.5,0.171875
code,p87,6631,1,1.5,0.25
code,p88,6631,1,1.5,0.0
code,p89,6631,1,1.5,0.25
code,p90,6631,1,1.5,0.1875
code,p91,6631,1,1.5,0.21875
code,p92,6631,1,1.5,-0.015625
code,p93,6631,1,1.5,-0.203125
code,p94,6631,1,1.5,0.0625
code,p95,6631,1,1.5,0.15625
code,p96,6631,1,1.5,0.0
code,p97,6631,1,1.5,-0.0625
code,p98,6631,1,1.5,0.15625
code,p99,6631,1,1.5,0.0625
code,p100,6631,1,1.5,-0.0625
code,p101,6631,1,1.5,0.125
code,p102,6631,1,1.5,0.375
code,p103,6631,1,1.5,0.1875
code,p104,6631,1,1.5,0.1875
code,p105,6631,1,1.5,0.34375
code,p106,6631,1,1.5,0.09375
code,p107,6631,1,1.5,1.09375
code,p108,6631,1,1.5,0.40625
code,p109,6631,1,1.5,0.234375
code,p110,6631,1,1.5,0.25
code,p111,6631,1,1.5,0.3125
code,p112,6631,1,1.5,0.25
code,p113,6631,1,1.5,-0.1875
code,p114,6631,1,1.5,0.078125
code,p115,6631,1,1.5,0.375
code,p116,6631,1,1.5,0.15625
code,p117,6631,1,1.5,0.75
code,p118,6631,1,1.5,0.34375
code,p119,6631,1,1.5,-0.078125
code,p120,6631,1,1.5,0.1875
code,p121,6631,1,1.5,0.28125
code,p122,6631,1,1.5,0.0625
code,p123,6631,1,1.5,-0.46875
code,p124,6631,1,1.5,0.15625
code,p125,6631,1,1.5,-0.125
code,p126,6631,1,1.5,-0.0625
code,p127,6631,1,1.5,0.5625
code,p128,6631,1,1.5,-0.125
code,p129,6631,1,1.5,-0.0625
code,p130,6631,1,1.5,-0.25
code,p131,6631,1,1.5,0.15625
code,p132,6631,1,1.5,0.21875
code,p133,6631,1,1.5,0.125
code,p134,6631,1,1.5,-0.046875
